recipe_name,num_stars,method,cook_mastery_effect,cook_mastery_value,taste_mastery_effect,taste_mastery_value
Warm Oasis,4,BOIL,MAGIC_ATTACK,3.0,MAGIC_DEFENSE,2.0
Yummy Broth,5,BOIL,MAX_HP,30.0,DEFENSE,2.0
Yummy Seafood Soup,5,BOIL,MAGIC_DEFENSE,3.0,ATTACK,2.0
Yummy Vegetable Soup,5,BOIL,MAGIC_ATTACK,3.0,MAGIC_DEFENSE,2.0
Fantasy Broth,6,BOIL,DEFENSE,3.0,MAGIC_DEFENSE,2.0
Fantasy Fish Soup,6,BOIL,ATTACK,3.0,DEFENSE,2.0
Fantasy Vegetable Soup,6,BOIL,MAGIC_DEFENSE,3.0,MAX_SP,4.0
Al De Baran Fish Soup,7,BOIL,ATTACK,3.0,MAGIC_DEFENSE,2.0
Mother's Hug,7,BOIL,DEFENSE,3.0,MAGIC_DEFENSE,2.0
Princess' Black Tea,7,BOIL,MAGIC_DEFENSE,3.0,MAX_SP,4.0
Brandy March,8,BOIL,DEFENSE,4.5,MAGIC_DEFENSE,3.0
Sage in Dark,8,BOIL,MAGIC_DEFENSE,4.5,MAX_SP,6.0
Song for You,8,BOIL,ATTACK,4.5,MAGIC_DEFENSE,3.0
Prontera Royal Broth,9,BOIL,MAGIC_DEFENSE,4.5,MAGIC_DEFENSE,3.0
Prontera Royal Seafood Soup,9,BOIL,MAGIC_DEFENSE,4.5,ATTACK,3.0
Prontera Royal Vegetable Soup,9,BOIL,MAGIC_DEFENSE,4.5,MAX_SP,6.0
Original Will-Broth,10,BOIL,DEFENSE,4.5,MAGIC_DEFENSE,3.0
Original Will-Seafood Soup,10,BOIL,MAGIC_DEFENSE,4.5,ATTACK,3.0
Original Will-Vegetable Soup,10,BOIL,MAGIC_DEFENSE,4.5,MAX_SP,6.0
Rookie Fruit Plate,1,BEVERAGE,MAGIC_ATTACK,1.5,MAGIC_ATTACK,1.0
Rookie Salad,1,BEVERAGE,MAX_SP,3.0,MAX_SP,2.0
Rookie Sashimi,1,BEVERAGE,MAX_HP,15.0,MAX_HP,10.0
Rookie Sushi,1,BEVERAGE,ATTACK,1.5,ATTACK,1.0
Ice Cream,2,BEVERAGE,MAGIC_ATTACK,1.5,DEFENSE,1.0
Ray Dessert,2,BEVERAGE,MAX_SP,3.0,MAGIC_DEFENSE,1.0
Smokie Cookie,2,BEVERAGE,MAGIC_ATTACK,1.5,MAGIC_ATTACK,1.0
Cheese Cake,3,BEVERAGE,MAGIC_ATTACK,1.5,MAX_SP,2.0
Poring Parfait,3,BEVERAGE,ATTACK,1.5,MAGIC_ATTACK,1.0
Seaside Black Tea,3,BEVERAGE,MAGIC_ATTACK,1.5,DEFENSE,1.0
Ancient Ice Honey,4,BEVERAGE,ATTACK,3.0,MAGIC_ATTACK,2.0
Duke Juice,4,BEVERAGE,MAGIC_ATTACK,3.0,DEFENSE,2.0
Vantican Bread,4,BEVERAGE,DEFENSE,3.0,MAGIC_DEFENSE,2.0
Yummy Cake,5,BEVERAGE,MAGIC_ATTACK,3.0,DEFENSE,2.0
Yummy Cookie,5,BEVERAGE,ATTACK,3.0,MAGIC_ATTACK,2.0
Yummy Tea,5,BEVERAGE,DEFENSE,3.0,MAGIC_DEFENSE,2.0
Magic Bread,6,BEVERAGE,DEFENSE,3.0,MAGIC_ATTACK,2.0
Magic Cookie,6,BEVERAGE,ATTACK,3.0,MAGIC_ATTACK,2.0
Magic Ice Cream,6,BEVERAGE,MAGIC_DEFENSE,3.0,DEFENSE,2.0
Bigfoot Forest Cookie,7,BEVERAGE,MAGIC_ATTACK,3.0,ATTACK,2.0
Merchant City's Cake,7,BEVERAGE,DEFENSE,3.0,MAGIC_DEFENSE,2.0
Noble Black Tea,7,BEVERAGE,MAGIC_ATTACK,3.0,DEFENSE,2.0
Gatler's Palace,8,BEVERAGE,MAGIC_ATTACK,4.5,ATTACK,3.0
Princess' Afternoon Tea,8,BEVERAGE,DEFENSE,4.5,MAGIC_DEFENSE,3.0
Summer Star,8,BEVERAGE,MAGIC_ATTACK,4.5,DEFENSE,3.0
Prontera Royal Cookie,9,BEVERAGE,MAGIC_DEFENSE,4.5,DEFENSE,3.0
Prontera Royal Ice Cream,9,BEVERAGE,ATTACK,4.5,MAGIC_ATTACK,2.0
Prontera Royal Juice,9,BEVERAGE,DEFENSE,4.5,MAGIC_ATTACK,3.0
Original Will-Cookies,10,BEVERAGE,MAGIC_DEFENSE,4.5,DEFENSE,3.0
Original Will-Ice Cream,10,BEVERAGE,ATTACK,4.5,MAGIC_ATTACK,3.0
Original Will-Juice,10,BEVERAGE,DEFENSE,4.5,MAGIC_ATTACK,3.0
